AREA,PERIMETER,CODCOMP,DEPTO,LOCALIDAD,SECCION,SEGMENTO,ZONA,CCZ,ASENTA,TOT_VIV,VIV_PAR,VIV_CO,VP_OCUPAD,VP_DESO,HOG_PAR,TOT_POB,CAT_POB,ED_0_5,ED_6_14,ED_15_24,ED_25_64,ED_65,CODSEG,CODSEC,CENTROIDE_LAT,CENTROIDE_LONG,CENT_X_SEGUN_ARCH,CENT_Y_SEGUN_ARCH
10525.054688,410.406891,113017002,1,20,13,17,2,,,,,,,,,,,,,,,,113017,113,-34.8835857408,-56.2566874246,567925.0910995355,6139614.715300234
10047.335938,400.894007,113014007,1,20,13,14,7,17,NO,38,38,0,36,2,36,112,4,9,14,16,59,14,113014,113,-34.8835963692,-56.2633832563,567313.1948147645,6139618.0563705815
9669.640625,393.365120,113018008,1,20,13,18,8,17,NO,32,32,0,31,1,33,94,3,3,15,9,50,17,113018,113,-34.8837333609,-56.2510676936,568438.51887122,6139594.519694478
10041.492188,400.832905,113016010,1,20,13,16,10,17,NO,30,30,0,27,3,27,96,3,15,7,19,48,7,113016,113,-34.8837324949,-56.2577878304,567824.411718167,6139599.186253959
23448.757813,714.794585,113019010,1,20,13,19,10,17,NO,1,1,0,1,0,1,1,2,0,0,0,1,0,113019,113,-34.8839088734,-56.2457396504,568925.2664049364,6139571.402790565
10067.718750,401.368222,113018003,1,20,13,18,3,17,NO,34,34,0,25,9,25,70,3,5,6,12,34,13,113018,113,-34.8838857404,-56.2521365522,568340.7169359004,6139578.35091286
10036.375000,400.739451,113016005,1,20,13,16,5,17,NO,17,17,0,17,0,17,57,3,8,9,7,30,3,113016,113,-34.8838803657,-56.258870608,567725.3427002265,6139583.520357325
17241.740452,529.415219,113049007,1,20,13,49,7,17,SI,52,52,0,51,1,51,159,4,22,24,31,72,10,113049,113,-34.8838904523,-56.2777566514,565999.4717586816,6139595.007387778
5805.997234,305.485170,113051008,1,20,13,51,8,17,SI,25,25,0,25,0,25,107,4,11,27,25,40,4,113051,113,-34.88383702,-56.2698373877,566723.2004457678,6139595.686738771
9970.867188,399.591335,113017015,1,20,13,17,15,17,NO,30,30,0,29,1,29,100,4,7,14,12,44,23,113017,113,-34.8840362675,-56.2532211502,568241.4785874963,6139562.397250458
19090.833966,578.244676,113050010,1,20,13,50,10,17,SI,42,42,0,40,2,40,142,4,7,22,18,80,15,113050,113,-34.8843376669,-56.2652309126,567143.7468716314,6139537.088467753
9931.828125,398.650430,113015010,1,20,13,15,10,17,NO,39,39,0,33,6,33,94,3,11,12,9,48,14,113015,113,-34.8840258842,-56.2599557213,567626.062529447,6139568.1158255525
4967.763463,284.670086,113051009,1,20,13,51,9,17,SI,22,22,0,22,0,22,79,3,9,15,8,44,3,113051,113,-34.8839191829,-56.2705778758,566655.4660662047,6139587.068066022
13994.659619,502.002852,113051010,1,20,13,51,10,17,SI,50,50,0,50,0,50,237,5,27,38,61,102,9,113051,113,-34.884160072,-56.2717647535,566546.8115258372,6139561.143235014
9848.312500,397.130198,113019008,1,20,13,19,8,17,NO,41,41,0,36,5,37,122,4,11,21,13,57,20,113019,113,-34.8841838703,-56.2476463093,568750.8009641172,6139542.216564295
9754.687500,395.071794,113017010,1,20,13,17,10,17,NO,32,32,0,27,5,27,82,3,3,9,10,48,12,113017,113,-34.8841824915,-56.2542920015,568143.5003674113,6139546.910368075
10269.995736,435.562667,113050009,1,20,13,50,9,17,SI,29,29,0,29,0,29,106,4,8,15,18,49,16,113050,113,-34.8840451485,-56.2667198471,567007.9217937323,6139570.524940121
9840.234375,396.688077,113015005,1,20,13,15,5,17,NO,34,34,0,28,6,29,91,3,10,16,11,42,12,113015,113,-34.8841744133,-56.2610386015,567526.9843290042,6139552.374849281
16142.884378,607.016282,113051012,1,20,13,51,12,17,SI,44,44,0,43,1,43,162,4,20,32,31,73,6,113051,113,-34.8841908642,-56.2738165218,566359.2907826953,6139559.089559085
10019.515625,400.528780,113019004,1,20,13,19,4,17,NO,40,40,0,39,1,41,143,4,13,14,23,73,20,113019,113,-34.884332657,-56.2487468889,568650.1031955843,6139526.47129908
10334.625000,406.717996,113017005,1,20,13,17,5,17,NO,27,27,0,26,1,26,79,3,6,8,9,41,15,113017,113,-34.8843284323,-56.2553821405,568043.7601808676,6139531.46695295
9943.757813,398.942060,113014013,1,20,13,14,13,17,NO,31,31,0,30,1,30,85,3,10,10,8,45,12,113014,113,-34.8843253245,-56.2621238996,567427.6835846829,6139536.37026547
7926.614324,384.582537,113050006,1,20,13,50,6,17,SI,31,31,0,29,2,29,105,4,14,25,13,48,5,113050,113,-34.8842601412,-56.2682198493,566870.6732286081,6139547.685188736
9937.890625,398.404028,113018014,1,20,13,18,14,17,NO,39,39,0,33,6,34,106,4,8,8,15,55,20,113018,113,-34.8844780378,-56.2498311413,568550.9006454342,6139511.091467984
