GID,COD_RECORRIDO,NRO_SERIE,MATERIAL,CAPACIDAD,POINT,DEMANDA_POBLACION,DEMANDA
8490,A_DU_RM_CL_03,A_03_20,Metal,2400,"-34.87744551603997,-56.261645761817476",203.833732352293,3.3640863943
8497,A_DU_RM_CL_03,A_03_68,Metal,2400,"-34.87346338973584,-56.23882444797685",82.0351922628776,8.3587819666
8503,A_DU_RM_CL_03,264,Metal,2400,"-34.876577055401505,-56.26267113146974",76.101081347299,9.0105721703
8556,A_DU_RM_CL_03,3092,Plastico,3200,"-34.87491657294799,-56.25653668974488",99.7624530912401,9.164627432
8559,A_DU_RM_CL_03,A_03_77,Plastico,3200,"-34.86985760782654,-56.240917018534944",114.088860372253,8.0138035502
8562,A_DU_RM_CL_03,12465,Metal,2400,"-34.87221865441359,-56.238770271071466",80.4885519338235,8.5194014458
23022,A_DU_RM_CL_03,A_03_15,Metal,2400,"-34.87852811721548,-56.26371992668114",95.0665069350616,7.2129954894
23041,E_DU_RM_CL_02,2626,Volúmen,0,"-34.87725529133641,-56.13469838472559",310.074784906365,1
23061,CH_DU_RM_CL_11,CH_11_17,Volúmen,0,"-34.88841904671144,-56.14340852304543",68.5796376672641,1
23122,C_DU_RM_CL_12,C_12_2,Metal,2400,"-34.87620672190647,-56.1683808342755",118.202687823738,5.8011733772
23123,E_DU_RM_CL_07,E_07_3,Metal,2400,"-34.88397487289012,-56.11104595449515",79.2156870089423,8.6562941206
9353,A_DU_RM_CL_04,s/n,Metal,2400,"-34.86601069514306,-56.23043046550837",137.421342424299,4.9898674661
11165,A_DU_RM_CL_04,12677,Metal,2400,"-34.867119517120344,-56.2337736011985",129.285307260615,5.3038841013
11222,A_DU_RM_CL_04,22370,Metal,2400,"-34.86983075653079,-56.22902191007003",81.8137105883468,8.3814104113
11226,A_DU_RM_CL_04,40219,Metal,2400,"-34.86641171987857,-56.23306902778689",135.560867476092,5.0583497914
11229,A_DU_RM_CL_04,8008489,Metal,2400,"-34.86535381605514,-56.23118614629161",132.386770655535,5.1796284653
11233,A_DU_RM_CL_04,21589,Metal,2400,"-34.86562087215954,-56.229214370062344",110.330097012652,6.2151154062
11236,A_DU_RM_CL_04,22365,Metal,2400,"-34.863240459899224,-56.2320919718405",83.6838248159616,8.1941078485
11239,A_DU_RM_CL_04,40345,Metal,2400,"-34.86494967182114,-56.2285970300417",92.7853895844925,7.3903260932
11243,A_DU_RM_CL_04,153,Metal,2400,"-34.863543390426464,-56.230087093267514",180.904084490057,3.7904853705
11246,A_DU_RM_CL_04,40318,Metal,2400,"-34.86126900185286,-56.22976915028747",58.3889219356007,11.7439107108
11249,A_DU_RM_CL_04,A_04_81,Metal,2400,"-34.867621917824806,-56.223418973165025",92.014030767129,7.4522796143
11252,A_DU_RM_CL_04,A_04_94,Metal,2400,"-34.86142859853933,-56.22791881197931",112.675076165668,6.085767226
11256,A_DU_RM_CL_04,A_04_77,Metal,2400,"-34.86529654657071,-56.22500532061019",95.8762234350505,7.1520785983
11259,A_DU_RM_CL_04,A_04_78,Metal,2400,"-34.86570790085386,-56.22446537698836",92.2845912988283,7.4304309751
11277,A_DU_RM_CL_04,A_04_84,Metal,2400,"-34.86798298583965,-56.22065849441964",171.897027218507,3.9890991532
21960,A_DU_RM_CL_06,19690,Metal,2400,"-34.864263918876546,-56.21799158617157",52.9241907600222,12.9565379436
21961,A_DU_RM_CL_06,12757,Metal,2400,"-34.86474726350737,-56.21857809814401",39.326837827096,17.4362934729
21966,A_DU_RM_CL_06,25625,Metal,2400,"-34.86400009691018,-56.22161586178267",75.1717308538603,9.1219701599
21970,A_DU_RM_CL_06,25768,Metal,2400,"-34.861911302665945,-56.22412337994588",70.8994011871519,9.6716513008
21972,A_DU_RM_CL_06,60,Metal,2400,"-34.859978865954226,-56.22643491360147",95.9771331412565,7.1445589514
21981,C_DU_RM_CL_08,C_08_113,Metal,2400,"-34.87405233836982,-56.20369541838524",28.1439404093168,24.3645444007
